state,Moisture,Vol,Ash,Hydrogen,Carbon,Nitrogen,Oxygen,Total Sulfur,Sulfate S,Pyr S,Org S,Hocbtu
Alabama,1.7,38,8.6,5.3,73.8,1.7,6.7,3.9,0.01,3.42,0.51,13532
Alabama,2.7,38,7.3,5.5,74.4,1.6,7.3,3.9,0.01,3.58,0.3,13572
Alabama,2.2,41.9,11.7,5.1,68.1,1.7,9.5,3.9,0.01,3.42,0.5,12847
Alabama,2.23,37.89,7.61,5.2,73.71,1.47,8.14,3.87,0.26,2.19,1.42,13323
Alabama,2.21,40.73,7.91,5.35,73.78,1.43,7.72,3.81,0.11,3.4,0.3,13458
Alabama,2.1,39.9,9,5.4,72.2,1.7,8,3.8,0.05,3.12,0.61,13303
Alabama,3.2,36.6,13.8,5.1,67,1.7,8.6,3.8,0.01,3.51,0.31,12209
Alabama,3.2,36.1,13.9,5.4,66.6,1.6,8.7,3.8,0,3.24,0.54,12205
Alabama,2.7,39.9,11.2,5.2,69.4,1.7,8.7,3.8,0.01,3.47,0.3,12780
Alabama,2,38.01,15.65,4.95,65.73,1.44,8.45,3.78,0.16,1.98,1.64,12035
Alabama,1.38,31.81,15.78,4.67,69.22,1.72,4.85,3.76,0.1,2.89,0.77,12567
Alabama,2.22,34.32,9.15,5.21,74.33,1.71,5.85,3.75,0.24,1.99,1.52,13438
Alabama,2.64,40.15,8.65,5.41,71.68,1.84,8.68,3.74,0.06,2.23,1.45,13095
Alabama,2.53,38.6,11.56,5.05,68.64,1.61,9.4,3.74,0.19,1.92,1.63,12472
Alabama,2.46,35.95,9.91,5.2,71.26,1.31,8.6,3.72,0.12,2.09,1.51,12866
Alabama,2.2,32.6,18.6,4.8,65.5,1.5,5.9,3.7,0.03,3.28,0.39,11939
Alabama,1.33,33.49,10.65,4.96,72.84,1.68,6.17,3.7,0.31,1.87,1.52,13218
Alabama,1.7,41.1,8.3,5.4,73.8,1.7,7,3.7,0.01,2.96,0.75,13569
Alabama,2.4,39,8.7,5.8,72.5,2,7.4,3.7,0.02,2.33,1.32,13212
Alabama,1.7,32.7,10.3,5.3,71.5,1.2,8,3.7,0.14,2.35,1.24,12930
Alabama,1.8,34.5,7.5,5.2,72.9,1.4,9.3,3.7,0.18,2.28,1.21,13290
Alabama,1.3,35.5,8.8,5.1,75.3,1.5,5.6,3.6,0.01,2.9,0.72,13599
Alabama,1.5,33.7,17.6,4.8,66.9,1.4,5.7,3.6,0.01,2.62,0.99,12164
Alabama,2,28.9,20.7,4.5,63.8,1.5,5.9,3.6,0.01,3.56,0,11553
Alabama,2.3,36.9,11.4,5.5,71.6,1.8,6.1,3.6,0.01,3.08,0.51,12915
Alabama,1.8,31.5,17.1,4.7,66.5,1.6,6.5,3.6,0.01,3.17,0.47,12147
Alabama,1.3,35.4,9.2,5.2,74.1,1.3,6.7,3.6,0.02,2.57,0.96,13373
Alabama,1.9,37.9,13.7,5.1,69.2,1.6,6.9,3.6,0.01,2.64,0.93,12666
Alabama,2.5,38.2,9.5,5.6,72.5,1.7,7.1,3.6,0.01,3.41,0.22,13363
Alabama,2.1,40.6,7.3,5.5,74.3,1.8,7.6,3.6,0.01,2.71,0.85,13582
Alabama,2.6,38.4,11.8,5.2,68,1.6,9.8,3.6,0.02,3.29,0.25,12330
Alabama,2.59,38.51,8.77,5.37,73.39,1.72,7.17,3.58,0.08,2.38,1.12,13299
Alabama,1.9,37.81,5.57,5.27,76.41,1.51,7.68,3.56,0.16,2.01,1.39,13817
Alabama,1.6,23.34,25.78,4.12,61.33,1.33,3.89,3.55,0.18,2.47,0.9,11002
Alabama,1.92,34.7,11.19,5.08,71.53,1.63,7.02,3.55,0.15,1.82,1.58,12986
Alabama,0.74,26.45,7.58,4.73,78.33,1.54,4.32,3.5,0.14,2.58,0.78,14092
Alabama,1.1,34.2,16.5,4.9,68.4,1.2,5.7,3.5,0.01,2.74,0.71,12305
Alabama,1.7,34.8,7.8,5.3,75.6,1.7,6.2,3.5,0.01,2.45,1.08,13710
Alabama,1.5,33.8,16.6,5,67.1,1.5,6.3,3.5,0.01,2.37,1.09,12195
Alabama,1.9,29.4,21.2,4.5,62.9,1.6,6.4,3.5,0.01,2.69,0.78,11404
Alabama,1.8,37.2,16.5,5,66.9,1.5,6.5,3.5,0.01,2.65,0.88,12108
Alabama,2.2,31.2,29.1,4.4,54.9,1.3,6.8,3.5,0.04,2.32,1.15,10160
Alabama,1.6,29.9,21.4,4.4,62.3,1.4,6.9,3.5,0.01,2.87,0.66,11377
Alabama,2,37.5,11.6,5.3,71.2,1.6,6.9,3.5,0.05,3.26,0.17,12975
Alabama,1.9,33.6,24.7,4.5,59,1.4,7,3.5,0.02,2.82,0.71,10711
